ID,Year,DCD,Sex,Age,Labour_force,Labour_force_participation_rate
1,2020,Central and Western,Male,A,3.4,35.0
2,2020,Central and Western,Male,B,13.9,92.9
3,2020,Central and Western,Male,C,13.9,96.4
4,2020,Central and Western,Male,D,13.2,92.0
5,2020,Central and Western,Male,E,19.2,48.4
6,2020,Central and Western,Female,A,3.7,35.8
7,2020,Central and Western,Female,B,21.2,88.3
8,2020,Central and Western,Female,C,18.2,83.9
9,2020,Central and Western,Female,D,15.7,76.9
10,2020,Central and Western,Female,E,13.6,30.7
11,2020,Wan Chai,Male,A,2,32.9
12,2020,Wan Chai,Male,B,8.8,94.9
13,2020,Wan Chai,Male,C,10,94.1
14,2020,Wan Chai,Male,D,10.1,92.3
15,2020,Wan Chai,Male,E,15.1,51.2
16,2020,Wan Chai,Female,A,2.2,32.7
17,2020,Wan Chai,Female,B,16.3,89.1
18,2020,Wan Chai,Female,C,14.4,84.8
19,2020,Wan Chai,Female,D,11,72.4
20,2020,Wan Chai,Female,E,10,29.7
21,2020,Eastern,Male,A,7.1,33.3
22,2020,Eastern,Male,B,28.6,93.8
23,2020,Eastern,Male,C,32.8,96.4
24,2020,Eastern,Male,D,31.7,91.5
25,2020,Eastern,Male,E,39,43.2
26,2020,Eastern,Female,A,8.3,37.7
27,2020,Eastern,Female,B,37.7,89.5
28,2020,Eastern,Female,C,44.6,82.2
29,2020,Eastern,Female,D,37,75.7
30,2020,Eastern,Female,E,28.1,27.3
31,2020,Southern,Male,A,3.7,34.4
32,2020,Southern,Male,B,12.9,92.8
33,2020,Southern,Male,C,15.4,97.7
34,2020,Southern,Male,D,16.3,92.8
35,2020,Southern,Male,E,20,46.6
36,2020,Southern,Female,A,4.3,39.4
37,2020,Southern,Female,B,17.8,84.9
38,2020,Southern,Female,C,21.9,83.0
39,2020,Southern,Female,D,18.7,77.9
40,2020,Southern,Female,E,14.5,29.9
41,2020,Yau Tsim Mong,Male,A,5.2,37.3
42,2020,Yau Tsim Mong,Male,B,19.6,93.5
43,2020,Yau Tsim Mong,Male,C,18.5,93.9
44,2020,Yau Tsim Mong,Male,D,17.9,90.3
45,2020,Yau Tsim Mong,Male,E,24.8,45.4
46,2020,Yau Tsim Mong,Female,A,5,36.7
47,2020,Yau Tsim Mong,Female,B,25.6,88.4
48,2020,Yau Tsim Mong,Female,C,22.4,74.5
49,2020,Yau Tsim Mong,Female,D,21.2,73.2
50,2020,Yau Tsim Mong,Female,E,16.2,28.9
51,2020,Sham Shui Po,Male,A,6.1,33.1
52,2020,Sham Shui Po,Male,B,24.5,92.1
53,2020,Sham Shui Po,Male,C,26.4,92.7
54,2020,Sham Shui Po,Male,D,25.9,88.0
55,2020,Sham Shui Po,Male,E,29.1,42.1
56,2020,Sham Shui Po,Female,A,6.7,36.8
57,2020,Sham Shui Po,Female,B,26,80.4
58,2020,Sham Shui Po,Female,C,32.1,74.7
59,2020,Sham Shui Po,Female,D,28.4,71.3
60,2020,Sham Shui Po,Female,E,19.5,26.0
61,2020,Kowloon City,Male,A,4.5,26.6
62,2020,Kowloon City,Male,B,26.3,91.6
63,2020,Kowloon City,Male,C,24.1,95.2
64,2020,Kowloon City,Male,D,22.3,91.7
65,2020,Kowloon City,Male,E,30.5,44.6
66,2020,Kowloon City,Female,A,6.1,34.2
67,2020,Kowloon City,Female,B,30.2,83.5
68,2020,Kowloon City,Female,C,31.6,78.5
69,2020,Kowloon City,Female,D,27,74.4
70,2020,Kowloon City,Female,E,21.3,27.1
71,2020,Tsuen Wan,Male,A,5.7,41.5
72,2020,Tsuen Wan,Male,B,18.9,93.6
73,2020,Tsuen Wan,Male,C,17.7,95.0
74,2020,Tsuen Wan,Male,D,19.2,91.1
75,2020,Tsuen Wan,Male,E,22.1,42.9
76,2020,Tsuen Wan,Female,A,4.7,36.8
77,2020,Tsuen Wan,Female,B,20.2,84.7
78,2020,Tsuen Wan,Female,C,23.8,79.3
79,2020,Tsuen Wan,Female,D,21.9,74.5
80,2020,Tsuen Wan,Female,E,13.6,24.6
81,2020,Tuen Mun,Male,A,8.4,38.9
82,2020,Tuen Mun,Male,B,28.3,94.0
83,2020,Tuen Mun,Male,C,29.5,93.1
84,2020,Tuen Mun,Male,D,32.7,91.3
85,2020,Tuen Mun,Male,E,37.2,45.4
86,2020,Tuen Mun,Female,A,8.1,37.8
87,2020,Tuen Mun,Female,B,29,84.7
88,2020,Tuen Mun,Female,C,34.3,73.1
89,2020,Tuen Mun,Female,D,32.5,68.7
90,2020,Tuen Mun,Female,E,21.9,25.0
91,2020,Yuen Long,Male,A,11.6,40.7
92,2020,Yuen Long,Male,B,38.8,93.5
93,2020,Yuen Long,Male,C,42,95.3
94,2020,Yuen Long,Male,D,36.9,88.4
95,2020,Yuen Long,Male,E,43,42.8
96,2020,Yuen Long,Female,A,11.2,40.8
97,2020,Yuen Long,Female,B,40,81.0
98,2020,Yuen Long,Female,C,48.4,72.8
99,2020,Yuen Long,Female,D,36.3,65.2
100,2020,Yuen Long,Female,E,25.1,23.1
101,2020,North,Male,A,5.2,37.1
102,2020,North,Male,B,17.5,91.4
103,2020,North,Male,C,20.2,95.7
104,2020,North,Male,D,18.8,87.6
105,2020,North,Male,E,21.5,41.4
106,2020,North,Female,A,4.3,31.9
107,2020,North,Female,B,16.7,76.6
108,2020,North,Female,C,20.8,65.9
109,2020,North,Female,D,19,68.1
110,2020,North,Female,E,12.9,24.1
